userId,movieId,rating,timestamp
1,19995,2.5,1260759144
1,88005,3,1260759179
1,206647,3,1260759182
1,49026,2,1260759185
1,49529,4,1260759205
1,9552,2,1260759151
1,38757,2,1260759187
1,99861,2,1260759148
1,586,3.5,1260759125
1,209112,2,1260759131
1,1452,2.5,1260759135
1,10764,1,1260759203
1,10678,4,1260759191
1,57201,4,1260759139
1,49521,3,1260759194
1,16148,2,1260759198
1,24428,2,1260759108
1,522,2.5,1260759113
1,41154,1,1260759200
1,122917,3,1260759117
2,1930,4,835355493
2,20662,5,835355681
2,57158,5,835355604
2,8839,4,835355552
2,10765,4,835355586
2,10501,3,835356031
2,271110,3,835355749
2,44833,4,835355532
2,135397,3,835356016
2,37724,5,835355395
2,109729,4,835355441
2,68721,3,835355493
2,12155,3,835355441
2,36668,3,835355710
2,62211,3,835355511
2,10981,3,835355664
2,91314,3,835355511
2,68728,5,835355840
2,102382,1,835355749
2,20526,3,835355552
2,97614,3,835355664
2,44912,3,835355896
2,10193,4,835355511
2,70160,4,835355681
2,168259,5,835355697
2,72190,5,835355586
2,127585,3,835355767
2,54138,4,835355779
2,81005,3,835355492
2,64682,4,835355395
2,9543,3,835355532
2,68726,4,835356044
2,38356,2,835355551
2,325123,1,835355918
2,105864,3,835355492
2,62177,4,835355441
2,188927,4,835355697
2,10681,3,835355628
2,5174,3,835355749
2,14161,3,835355604
2,17979,3,835355619
2,76757,2,835355932
2,258489,3,835355968
2,411,3,835356094
2,246655,3,835355710
2,24662,3,835356165
2,14160,2,835356246
2,15512,3,835355532
2,1245,4,835355604
2,44826,3,835355511
2,53113,4,835355790
2,80035,2,835355828
2,297761,4,835355643
2,2698,3,835355918
2,137113,3,835355880
2,9804,4,835355731
2,14869,4,835355860
2,150540,4,835355719
2,278927,4,835355817
2,10138,4,835355731
2,58595,4,835356199
2,102651,3,835355767
2,119450,3,835356109
2,79698,5,835355767
2,64686,3,835355860
2,100402,5,835355817
2,10192,3,835355790
2,158852,3,835355779
2,177572,3,835355441
2,82690,5,835355697
2,43933,5,835355395
2,47933,5,835355395
2,10191,3,835355511
2,296,3,835355932
2,118340,4,835356141
2,157336,4,835355978
3,27205,3,1298861675
3,44833,4,1298922049
3,315011,3.5,1298861637
3,49051,3,1298861761
3,64682,4.5,1298862418
3,9799,5,1298862121
3,4922,2.5,1298861589
3,10681,5,1298862167
3,246655,2.5,1298923242
3,10138,3,1298862528
3,177572,3,1298922100
3,47933,3,1298923247
